m,horizon,n_runs,d1,d2,lambda_E,lambda_ent,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
5000,80,10,10,1000,20,0.75,0.08111875,0.00034609,0.08111875,0.00034609,0.07872925,0.00029099,0.00238950,0.00008630
5000,80,10,10,1000,20,0.8,0.06307550,0.00035996,0.06307550,0.00035996,0.05974125,0.00034477,0.00333425,0.00015915
5000,80,10,10,1000,20,0.85,0.04726325,0.00035519,0.04726325,0.00035519,0.04262350,0.00027584,0.00463975,0.00023549
5000,80,10,10,1000,20,0.9,0.03357325,0.00027248,0.03357325,0.00027248,0.02704050,0.00023867,0.00653275,0.00014546
5000,80,10,10,1000,20,0.95,0.02202200,0.00027755,0.02202200,0.00027755,0.01297250,0.00017611,0.00904950,0.00018371
5000,80,10,10,1000,30,0.05,0.89037900,0.00171733,0.89037900,0.00171733,0.89002025,0.00172985,0.00035875,0.00002349
5000,80,10,10,1000,30,0.1,0.79417425,0.00226324,0.79417425,0.00226324,0.79351925,0.00227628,0.00065500,0.00004819
5000,80,10,10,1000,30,0.15,0.69870475,0.00164162,0.69870475,0.00164162,0.69781325,0.00164904,0.00089150,0.00004884
5000,80,10,10,1000,30,0.2,0.60794775,0.00155618,0.60794775,0.00155618,0.60681125,0.00158705,0.00113650,0.00005568
5000,80,10,10,1000,30,0.25,0.52310475,0.00154412,0.52310475,0.00154412,0.52176250,0.00151511,0.00134225,0.00006905
5000,80,10,10,1000,30,0.3,0.44540450,0.00132230,0.44540450,0.00132230,0.44380525,0.00132622,0.00159925,0.00005950
5000,80,10,10,1000,30,0.35,0.37759900,0.00137112,0.37759900,0.00137112,0.37571125,0.00133947,0.00188775,0.00010516
5000,80,10,10,1000,30,0.4,0.31830275,0.00111955,0.31830275,0.00111955,0.31602625,0.00111075,0.00227650,0.00006676
5000,80,10,10,1000,30,0.45,0.26878925,0.00127909,0.26878925,0.00127909,0.26601750,0.00128220,0.00277175,0.00011079
5000,80,10,10,1000,30,0.5,0.22599700,0.00071606,0.22599700,0.00071606,0.22249350,0.00068175,0.00350350,0.00011455
5000,80,10,10,1000,30,0.55,0.19069375,0.00043249,0.19069375,0.00043249,0.18635550,0.00045407,0.00433825,0.00014138
5000,80,10,10,1000,30,0.6,0.15975125,0.00085749,0.15975125,0.00085749,0.15435125,0.00084607,0.00540000,0.00011248
5000,80,10,10,1000,30,0.65,0.13352000,0.00100272,0.13352000,0.00100272,0.12663875,0.00105639,0.00688125,0.00012481
5000,80,10,10,1000,30,0.7,0.11081625,0.00069401,0.11081625,0.00069401,0.10205150,0.00065148,0.00876475,0.00022017
5000,80,10,10,1000,30,0.75,0.09159600,0.00023892,0.09159600,0.00023892,0.08039050,0.00031537,0.01120550,0.00021953
5000,80,10,10,1000,30,0.8,0.07544725,0.00054129,0.07544725,0.00054129,0.06131825,0.00043113,0.01412900,0.00020441
5000,80,10,10,1000,30,0.85,0.06152700,0.00042800,0.06152700,0.00042800,0.04369175,0.00037595,0.01783525,0.00019073
5000,80,10,10,1000,30,0.9,0.05053575,0.00044169,0.05053575,0.00044169,0.02795300,0.00034727,0.02258275,0.00040946
5000,80,10,10,1000,30,0.95,0.04149250,0.00035902,0.04149250,0.00035902,0.01338100,0.00026063,0.02811150,0.00024565
5000,80,10,10,1000,40,0.05,0.88945225,0.00131740,0.88945225,0.00131740,0.88903575,0.00130820,0.00041650,0.00002268
5000,80,10,10,1000,40,0.1,0.79369875,0.00115706,0.79369875,0.00115706,0.79284525,0.00116918,0.00085350,0.00004688
5000,80,10,10,1000,40,0.15,0.70030475,0.00124482,0.70030475,0.00124482,0.69899175,0.00123033,0.00131300,0.00006307
5000,80,10,10,1000,40,0.2,0.60989850,0.00184178,0.60989850,0.00184178,0.60802200,0.00183971,0.00187650,0.00008144
5000,80,10,10,1000,40,0.25,0.52460500,0.00200800,0.52460500,0.00200800,0.52216250,0.00201527,0.00244250,0.00006972
5000,80,10,10,1000,40,0.3,0.44834825,0.00054089,0.44834825,0.00054089,0.44509850,0.00056925,0.00324975,0.00009786
5000,80,10,10,1000,40,0.35,0.38004100,0.00087626,0.38004100,0.00087626,0.37587575,0.00093177,0.00416525,0.00012266
5000,80,10,10,1000,40,0.4,0.32220050,0.00105473,0.32220050,0.00105473,0.31692475,0.00100159,0.00527575,0.00011763
5000,80,10,10,1000,40,0.45,0.27284850,0.00061639,0.27284850,0.00061639,0.26626050,0.00056142,0.00658800,0.00011043
5000,80,10,10,1000,40,0.5,0.23211975,0.00087098,0.23211975,0.00087098,0.22381675,0.00075259,0.00830300,0.00023171
5000,80,10,10,1000,40,0.55,0.19704775,0.00049585,0.19704775,0.00049585,0.18687250,0.00049128,0.01017525,0.00017755
