policy,time,H_mean,H_std,E_mean,E_std,total_mean,total_std
greedy,49.75,412.600000,17.914612,14.300000,2.830391,426.900000,18.823449
greedy,50.00,407.500000,19.207927,13.800000,4.289522,421.300000,19.373808
greedy,50.25,408.700000,21.473757,14.000000,3.620927,422.700000,21.802395
greedy,50.50,409.100000,16.868445,14.700000,2.907844,423.800000,15.690053
greedy,50.75,411.100000,14.332946,14.800000,2.658320,425.900000,14.677647
greedy,51.00,409.500000,19.856429,12.800000,3.359894,422.300000,19.647165
greedy,51.25,400.900000,24.501474,15.600000,4.599517,416.500000,24.780144
greedy,51.50,398.800000,23.724343,16.300000,3.945462,415.100000,21.702278
greedy,51.75,409.000000,25.768197,13.800000,3.614784,422.800000,24.457673
greedy,52.00,408.400000,27.488179,14.000000,2.867442,422.400000,26.378442
greedy,52.25,400.000000,22.514193,15.100000,2.558211,415.100000,23.115411
greedy,52.50,398.100000,20.338524,15.600000,2.547330,413.700000,19.413913
greedy,52.75,407.200000,29.104410,14.500000,4.301163,421.700000,29.356241
greedy,53.00,420.900000,25.817522,13.000000,3.681787,433.900000,24.825838
greedy,53.25,421.600000,26.022213,14.000000,2.708013,435.600000,24.748513
greedy,53.50,412.400000,22.979218,14.500000,3.100179,426.900000,21.926392
greedy,53.75,412.200000,28.611575,13.100000,4.433459,425.300000,30.994802
greedy,54.00,399.400000,28.740989,15.000000,4.136558,414.400000,30.247865
greedy,54.25,407.500000,24.116615,18.500000,1.649916,426.000000,23.357131
greedy,54.50,410.700000,21.390808,13.400000,3.657564,424.100000,21.860416
greedy,54.75,401.100000,26.921491,13.200000,3.224903,414.300000,26.297655
greedy,55.00,405.000000,14.087031,15.200000,5.006662,420.200000,13.958669
greedy,55.25,401.300000,21.061022,14.300000,3.529243,415.600000,21.427915
greedy,55.50,409.200000,19.876284,13.800000,4.341019,423.000000,20.099751
greedy,55.75,422.500000,22.559797,14.200000,3.047768,436.700000,22.370864
