m,horizon,n_runs,lambda_E,lambda_ent,d1,d2,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
5000,80,10,10,0.5,40,150,0.06077575,0.00046503,0.06077575,0.00046503,0.05732125,0.00048298,0.00345450,0.00004807
5000,80,10,10,0.5,40,200,0.05965750,0.00080906,0.05965750,0.00080906,0.05800400,0.00081947,0.00165350,0.00008916
5000,80,10,10,0.5,40,300,0.05870775,0.00032240,0.05870775,0.00032240,0.05830175,0.00033173,0.00040600,0.00003143
5000,80,10,10,0.5,40,400,0.05869625,0.00056272,0.05869625,0.00056272,0.05858975,0.00055679,0.00010650,0.00001729
5000,80,10,10,0.5,40,600,0.05880650,0.00052318,0.05880650,0.00052318,0.05879350,0.00052079,0.00001300,0.00000734
5000,80,10,10,0.5,40,800,0.05851850,0.00051424,0.05851850,0.00051424,0.05851375,0.00051509,0.00000475,0.00000416
5000,80,10,10,0.5,40,1000,0.05884625,0.00068413,0.05884625,0.00068413,0.05884175,0.00068376,0.00000450,0.00000350
5000,80,10,10,0.5,40,1500,0.05859750,0.00049106,0.05859750,0.00049106,0.05859625,0.00049120,0.00000125,0.00000132
5000,80,10,10,0.5,40,2500,0.05856025,0.00053861,0.05856025,0.00053861,0.05856000,0.00053887,0.00000025,0.00000079
5000,80,10,10,0.5,40,4000,0.05861100,0.00056030,0.05861100,0.00056030,0.05861100,0.00056030,0.00000000,0.00000000
5000,80,10,10,0.5,40,7000,0.05866400,0.00037902,0.05866400,0.00037902,0.05866400,0.00037902,0.00000000,0.00000000
5000,80,10,10,0.5,40,10000,0.05869825,0.00042142,0.05869825,0.00042142,0.05869825,0.00042142,0.00000000,0.00000000
